Date,Product,Region,Sales
2023-01-17,Product E,North,996
2023-01-17,Product E,South,403
2023-01-17,Product E,East,353
2023-01-17,Product E,West,751
2023-01-18,Product A,North,552
2023-01-18,Product A,South,136
2023-01-18,Product A,East,259
2023-01-18,Product A,West,108
2023-01-18,Product B,North,332
2023-01-18,Product B,South,198
2023-01-18,Product B,East,758
2023-01-18,Product B,West,915
2023-01-18,Product C,North,307
2023-01-18,Product C,South,230
2023-01-18,Product C,East,503
2023-01-18,Product C,West,251
2023-01-18,Product D,North,153
2023-01-18,Product D,South,219
2023-01-18,Product D,East,772
2023-01-18,Product D,West,727
2023-01-18,Product E,North,686
2023-01-18,Product E,South,724
2023-01-18,Product E,East,519
2023-01-18,Product E,West,521
2023-01-19,Product A,North,203
2023-01-19,Product A,South,951
2023-01-19,Product A,East,353
2023-01-19,Product A,West,326
2023-01-19,Product B,North,211
2023-01-19,Product B,South,609
2023-01-19,Product B,East,572
2023-01-19,Product B,West,198
2023-01-19,Product C,North,252
2023-01-19,Product C,South,960
2023-01-19,Product C,East,995
2023-01-19,Product C,West,977
2023-01-19,Product D,North,437
2023-01-19,Product D,South,805
2023-01-19,Product D,East,921
2023-01-19,Product D,West,262
2023-01-19,Product E,North,819
2023-01-19,Product E,South,780
2023-01-19,Product E,East,260
2023-01-19,Product E,West,679
2023-01-20,Product A,North,900
2023-01-20,Product A,South,497
2023-01-20,Product A,East,376
2023-01-20,Product A,West,915
2023-01-20,Product B,North,603
2023-01-20,Product B,South,995
2023-01-20,Product B,East,491
2023-01-20,Product B,West,234
2023-01-20,Product C,North,294
2023-01-20,Product C,South,500
2023-01-20,Product C,East,739
2023-01-20,Product C,West,132
2023-01-20,Product D,North,787
2023-01-20,Product D,South,559
2023-01-20,Product D,East,982
2023-01-20,Product D,West,569
2023-01-20,Product E,North,474
2023-01-20,Product E,South,121
2023-01-20,Product E,East,849
2023-01-20,Product E,West,769
2023-01-21,Product A,North,137
2023-01-21,Product A,South,329
2023-01-21,Product A,East,464
2023-01-21,Product A,West,662
2023-01-21,Product B,North,537
2023-01-21,Product B,South,875
2023-01-21,Product B,East,382
2023-01-21,Product B,West,126
2023-01-21,Product C,North,325
2023-01-21,Product C,South,376
2023-01-21,Product C,East,897
2023-01-21,Product C,West,708
2023-01-21,Product D,North,383
2023-01-21,Product D,South,978
2023-01-21,Product D,East,580
2023-01-21,Product D,West,552
2023-01-21,Product E,North,928
2023-01-21,Product E,South,915
2023-01-21,Product E,East,758
2023-01-21,Product E,West,615
2023-01-22,Product A,North,646
2023-01-22,Product A,South,291
2023-01-22,Product A,East,148
2023-01-22,Product A,West,611
2023-01-22,Product B,North,116
2023-01-22,Product B,South,271
2023-01-22,Product B,East,319
2023-01-22,Product B,West,257
2023-01-22,Product C,North,576
2023-01-22,Product C,South,145
2023-01-22,Product C,East,472
2023-01-22,Product C,West,617
2023-01-22,Product D,North,198
2023-01-22,Product D,South,991
2023-01-22,Product D,East,844
2023-01-22,Product D,West,136
2023-01-22,Product E,North,379
2023-01-22,Product E,South,448
2023-01-22,Product E,East,596
2023-01-22,Product E,West,401
2023-01-23,Product A,North,280
2023-01-23,Product A,South,706
2023-01-23,Product A,East,198
2023-01-23,Product A,West,799
2023-01-23,Product B,North,215
2023-01-23,Product B,South,290
2023-01-23,Product B,East,352
2023-01-23,Product B,West,260
2023-01-23,Product C,North,355
2023-01-23,Product C,South,422
2023-01-23,Product C,East,227
2023-01-23,Product C,West,117
2023-01-23,Product D,North,892
2023-01-23,Product D,South,834
2023-01-23,Product D,East,665
2023-01-23,Product D,West,669
2023-01-23,Product E,North,422
2023-01-23,Product E,South,971
2023-01-23,Product E,East,785
2023-01-23,Product E,West,891
2023-01-24,Product A,North,725
2023-01-24,Product A,South,387
2023-01-24,Product A,East,953
2023-01-24,Product A,West,762
2023-01-24,Product B,North,738
2023-01-24,Product B,South,254
2023-01-24,Product B,East,589
2023-01-24,Product B,West,485
2023-01-24,Product C,North,884
2023-01-24,Product C,South,203
2023-01-24,Product C,East,492
2023-01-24,Product C,West,910
2023-01-24,Product D,North,345
2023-01-24,Product D,South,275
2023-01-24,Product D,East,138
2023-01-24,Product D,West,576
2023-01-24,Product E,North,781
2023-01-24,Product E,South,858
2023-01-24,Product E,East,637
2023-01-24,Product E,West,966
2023-01-25,Product A,North,917
2023-01-25,Product A,South,507
2023-01-25,Product A,East,624
2023-01-25,Product A,West,927
2023-01-25,Product B,North,605
2023-01-25,Product B,South,924
2023-01-25,Product B,East,135
2023-01-25,Product B,West,784
2023-01-25,Product C,North,119
2023-01-25,Product C,South,420
2023-01-25,Product C,East,875
2023-01-25,Product C,West,611
2023-01-25,Product D,North,499
2023-01-25,Product D,South,753
2023-01-25,Product D,East,982
2023-01-25,Product D,West,570
2023-01-25,Product E,North,242
2023-01-25,Product E,South,191
2023-01-25,Product E,East,453
2023-01-25,Product E,West,933
2023-01-26,Product A,North,899
2023-01-26,Product A,South,826
2023-01-26,Product A,East,953
2023-01-26,Product A,West,150
2023-01-26,Product B,North,764
2023-01-26,Product B,South,797
2023-01-26,Product B,East,674
2023-01-26,Product B,West,289
2023-01-26,Product C,North,224
2023-01-26,Product C,South,249
2023-01-26,Product C,East,413
2023-01-26,Product C,West,669
2023-01-26,Product D,North,441
2023-01-26,Product D,South,404
2023-01-26,Product D,East,791
2023-01-26,Product D,West,781
2023-01-26,Product E,North,937
2023-01-26,Product E,South,882
2023-01-26,Product E,East,153
2023-01-26,Product E,West,543
2023-01-27,Product A,North,712
2023-01-27,Product A,South,363
2023-01-27,Product A,East,152
2023-01-27,Product A,West,671
2023-01-27,Product B,North,719
2023-01-27,Product B,South,104
2023-01-27,Product B,East,202
2023-01-27,Product B,West,295
2023-01-27,Product C,North,873
2023-01-27,Product C,South,976
2023-01-27,Product C,East,983
2023-01-27,Product C,West,449
2023-01-27,Product D,North,146
2023-01-27,Product D,South,966
2023-01-27,Product D,East,922
2023-01-27,Product D,West,919
2023-01-27,Product E,North,755
2023-01-27,Product E,South,368
2023-01-27,Product E,East,469
2023-01-27,Product E,West,735
2023-01-28,Product A,North,205
2023-01-28,Product A,South,769
2023-01-28,Product A,East,758
2023-01-28,Product A,West,756
2023-01-28,Product B,North,219
2023-01-28,Product B,South,930
2023-01-28,Product B,East,886
2023-01-28,Product B,West,703
2023-01-28,Product C,North,157
2023-01-28,Product C,South,445
2023-01-28,Product C,East,840
2023-01-28,Product C,West,573
2023-01-28,Product D,North,216
2023-01-28,Product D,South,929
2023-01-28,Product D,East,890
2023-01-28,Product D,West,226
2023-01-28,Product E,North,492
2023-01-28,Product E,South,740
2023-01-28,Product E,East,157
2023-01-28,Product E,West,733
2023-01-29,Product A,North,612
2023-01-29,Product A,South,850
2023-01-29,Product A,East,901
2023-01-29,Product A,West,195
2023-01-29,Product B,North,737
2023-01-29,Product B,South,217
2023-01-29,Product B,East,659
2023-01-29,Product B,West,700
2023-01-29,Product C,North,587
2023-01-29,Product C,South,336
2023-01-29,Product C,East,984
2023-01-29,Product C,West,996
2023-01-29,Product D,North,371
2023-01-29,Product D,South,288
2023-01-29,Product D,East,803
2023-01-29,Product D,West,546
2023-01-29,Product E,North,680
2023-01-29,Product E,South,889
2023-01-29,Product E,East,960
2023-01-29,Product E,West,346
2023-01-30,Product A,North,175
2023-01-30,Product A,South,253
2023-01-30,Product A,East,755
2023-01-30,Product A,West,534
2023-01-30,Product B,North,185
2023-01-30,Product B,South,796
2023-01-30,Product B,East,384
2023-01-30,Product B,West,319
2023-01-30,Product C,North,168
2023-01-30,Product C,South,146
2023-01-30,Product C,East,193
2023-01-30,Product C,West,849
2023-01-30,Product D,North,552
2023-01-30,Product D,South,303
2023-01-30,Product D,East,317
2023-01-30,Product D,West,573
2023-01-30,Product E,North,531
2023-01-30,Product E,South,440
2023-01-30,Product E,East,650
2023-01-30,Product E,West,711
2023-01-31,Product A,North,388
2023-01-31,Product A,South,353
2023-01-31,Product A,East,833
2023-01-31,Product A,West,456
2023-01-31,Product B,North,122
2023-01-31,Product B,South,861
2023-01-31,Product B,East,621
2023-01-31,Product B,West,857
2023-01-31,Product C,North,936
2023-01-31,Product C,South,199
2023-01-31,Product C,East,901
2023-01-31,Product C,West,279
2023-01-31,Product D,North,322
2023-01-31,Product D,South,861
2023-01-31,Product D,East,758
2023-01-31,Product D,West,541
2023-01-31,Product E,North,707
2023-01-31,Product E,South,868
2023-01-31,Product E,East,424
2023-01-31,Product E,West,615
2023-02-01,Product A,North,115
2023-02-01,Product A,South,891
2023-02-01,Product A,East,435
2023-02-01,Product A,West,858
2023-02-01,Product B,North,357
2023-02-01,Product B,South,596
2023-02-01,Product B,East,995
2023-02-01,Product B,West,259
2023-02-01,Product C,North,574
2023-02-01,Product C,South,951
2023-02-01,Product C,East,763
2023-02-01,Product C,West,789
2023-02-01,Product D,North,774
2023-02-01,Product D,South,479
2023-02-01,Product D,East,644
2023-02-01,Product D,West,790
2023-02-01,Product E,North,526
2023-02-01,Product E,South,712
2023-02-01,Product E,East,367
2023-02-01,Product E,West,934
2023-02-02,Product A,North,676
2023-02-02,Product A,South,516
2023-02-02,Product A,East,267
2023-02-02,Product A,West,941
2023-02-02,Product B,North,142
2023-02-02,Product B,South,655
2023-02-02,Product B,East,384
2023-02-02,Product B,West,496
2023-02-02,Product C,North,111
2023-02-02,Product C,South,706
2023-02-02,Product C,East,401
2023-02-02,Product C,West,997
2023-02-02,Product D,North,352
2023-02-02,Product D,South,598
2023-02-02,Product D,East,853
2023-02-02,Product D,West,134
2023-02-02,Product E,North,826
2023-02-02,Product E,South,948
2023-02-02,Product E,East,189
2023-02-02,Product E,West,875
2023-02-03,Product A,North,704
2023-02-03,Product A,South,701
2023-02-03,Product A,East,517
2023-02-03,Product A,West,214
2023-02-03,Product B,North,716
2023-02-03,Product B,South,295
2023-02-03,Product B,East,925
2023-02-03,Product B,West,600
2023-02-03,Product C,North,725
2023-02-03,Product C,South,592
2023-02-03,Product C,East,174
2023-02-03,Product C,West,512
2023-02-03,Product D,North,475
2023-02-03,Product D,South,519
2023-02-03,Product D,East,828
2023-02-03,Product D,West,376
2023-02-03,Product E,North,860
2023-02-03,Product E,South,775
2023-02-03,Product E,East,493
2023-02-03,Product E,West,968
2023-02-04,Product A,North,556
2023-02-04,Product A,South,291
2023-02-04,Product A,East,838
2023-02-04,Product A,West,788
2023-02-04,Product B,North,198
2023-02-04,Product B,South,647
2023-02-04,Product B,East,195
2023-02-04,Product B,West,763
2023-02-04,Product C,North,762
2023-02-04,Product C,South,289
2023-02-04,Product C,East,835
2023-02-04,Product C,West,136
2023-02-04,Product D,North,879
2023-02-04,Product D,South,468
2023-02-04,Product D,East,794
2023-02-04,Product D,West,624
2023-02-04,Product E,North,378
2023-02-04,Product E,South,316
2023-02-04,Product E,East,966
2023-02-04,Product E,West,972
2023-02-05,Product A,North,897
2023-02-05,Product A,South,372
2023-02-05,Product A,East,980
2023-02-05,Product A,West,161
2023-02-05,Product B,North,695
2023-02-05,Product B,South,979
2023-02-05,Product B,East,828
2023-02-05,Product B,West,441
2023-02-05,Product C,North,496
2023-02-05,Product C,South,798
2023-02-05,Product C,East,118
2023-02-05,Product C,West,276
2023-02-05,Product D,North,711
2023-02-05,Product D,South,495
2023-02-05,Product D,East,544
2023-02-05,Product D,West,332
2023-02-05,Product E,North,175
2023-02-05,Product E,South,364
2023-02-05,Product E,East,554
2023-02-05,Product E,West,895
2023-02-06,Product A,North,817
2023-02-06,Product A,South,834
2023-02-06,Product A,East,483
2023-02-06,Product A,West,663
2023-02-06,Product B,North,950
2023-02-06,Product B,South,605
2023-02-06,Product B,East,466
2023-02-06,Product B,West,243
2023-02-06,Product C,North,984
2023-02-06,Product C,South,168
2023-02-06,Product C,East,198
2023-02-06,Product C,West,495
2023-02-06,Product D,North,124
2023-02-06,Product D,South,990
2023-02-06,Product D,East,568
2023-02-06,Product D,West,583
2023-02-06,Product E,North,664
2023-02-06,Product E,South,250
2023-02-06,Product E,East,243
2023-02-06,Product E,West,668
2023-02-07,Product A,North,138
2023-02-07,Product A,South,208
2023-02-07,Product A,East,792
2023-02-07,Product A,West,141
2023-02-07,Product B,North,285
2023-02-07,Product B,South,497
2023-02-07,Product B,East,322
2023-02-07,Product B,West,733
2023-02-07,Product C,North,232
2023-02-07,Product C,South,262
2023-02-07,Product C,East,314
2023-02-07,Product C,West,832
2023-02-07,Product D,North,334
2023-02-07,Product D,South,942
2023-02-07,Product D,East,757
2023-02-07,Product D,West,850
2023-02-07,Product E,North,687
2023-02-07,Product E,South,108
2023-02-07,Product E,East,173
2023-02-07,Product E,West,591
2023-02-08,Product A,North,352
2023-02-08,Product A,South,329
2023-02-08,Product A,East,618
2023-02-08,Product A,West,273
2023-02-08,Product B,North,752
2023-02-08,Product B,South,267
2023-02-08,Product B,East,269
2023-02-08,Product B,West,492
2023-02-08,Product C,North,894
2023-02-08,Product C,South,733
2023-02-08,Product C,East,293
2023-02-08,Product C,West,616
2023-02-08,Product D,North,128
2023-02-08,Product D,South,264
2023-02-08,Product D,East,521
2023-02-08,Product D,West,438
2023-02-08,Product E,North,747
2023-02-08,Product E,South,595
2023-02-08,Product E,East,464
2023-02-08,Product E,West,932
2023-02-09,Product A,North,441
2023-02-09,Product A,South,599
2023-02-09,Product A,East,756
2023-02-09,Product A,West,610
2023-02-09,Product B,North,426
2023-02-09,Product B,South,316
2023-02-09,Product B,East,400
2023-02-09,Product B,West,231
2023-02-09,Product C,North,903
2023-02-09,Product C,South,169
2023-02-09,Product C,East,351
2023-02-09,Product C,West,514
2023-02-09,Product D,North,886
2023-02-09,Product D,South,544
2023-02-09,Product D,East,975
2023-02-09,Product D,West,281
2023-02-09,Product E,North,266
2023-02-09,Product E,South,190
2023-02-09,Product E,East,813
2023-02-09,Product E,West,957
2023-02-10,Product A,North,630
2023-02-10,Product A,South,138
2023-02-10,Product A,East,225
2023-02-10,Product A,West,550
2023-02-10,Product B,North,272
2023-02-10,Product B,South,752
2023-02-10,Product B,East,853
2023-02-10,Product B,West,319
2023-02-10,Product C,North,737
2023-02-10,Product C,South,157
2023-02-10,Product C,East,759
2023-02-10,Product C,West,575
2023-02-10,Product D,North,555
2023-02-10,Product D,South,928
2023-02-10,Product D,East,994
2023-02-10,Product D,West,460
2023-02-10,Product E,North,100
2023-02-10,Product E,South,486
2023-02-10,Product E,East,447
2023-02-10,Product E,West,289
2023-02-11,Product A,North,604
2023-02-11,Product A,South,290
2023-02-11,Product A,East,607
2023-02-11,Product A,West,468
2023-02-11,Product B,North,508
2023-02-11,Product B,South,923
2023-02-11,Product B,East,216
2023-02-11,Product B,West,233
2023-02-11,Product C,North,157
2023-02-11,Product C,South,655
2023-02-11,Product C,East,784
2023-02-11,Product C,West,771
2023-02-11,Product D,North,272
2023-02-11,Product D,South,928
2023-02-11,Product D,East,914
2023-02-11,Product D,West,248
2023-02-11,Product E,North,179
2023-02-11,Product E,South,985
2023-02-11,Product E,East,312
2023-02-11,Product E,West,302
2023-02-12,Product A,North,863
2023-02-12,Product A,South,328
2023-02-12,Product A,East,775
2023-02-12,Product A,West,326
2023-02-12,Product B,North,758
2023-02-12,Product B,South,631
2023-02-12,Product B,East,540
2023-02-12,Product B,West,501
2023-02-12,Product C,North,146
2023-02-12,Product C,South,332
2023-02-12,Product C,East,404
2023-02-12,Product C,West,625
2023-02-12,Product D,North,242
2023-02-12,Product D,South,514
2023-02-12,Product D,East,612
2023-02-12,Product D,West,472
2023-02-12,Product E,North,665
2023-02-12,Product E,South,985
2023-02-12,Product E,East,358
2023-02-12,Product E,West,755
2023-02-13,Product A,North,570
2023-02-13,Product A,South,111
2023-02-13,Product A,East,429
2023-02-13,Product A,West,835
2023-02-13,Product B,North,883
2023-02-13,Product B,South,457
2023-02-13,Product B,East,507
2023-02-13,Product B,West,767
2023-02-13,Product C,North,472
2023-02-13,Product C,South,107
2023-02-13,Product C,East,221
2023-02-13,Product C,West,447
2023-02-13,Product D,North,775
2023-02-13,Product D,South,189
2023-02-13,Product D,East,747
2023-02-13,Product D,West,797
2023-02-13,Product E,North,415
2023-02-13,Product E,South,277
2023-02-13,Product E,East,639
2023-02-13,Product E,West,831
2023-02-14,Product A,North,968
2023-02-14,Product A,South,140
2023-02-14,Product A,East,839
2023-02-14,Product A,West,803
2023-02-14,Product B,North,601
2023-02-14,Product B,South,244
2023-02-14,Product B,East,300
2023-02-14,Product B,West,823
2023-02-14,Product C,North,560
2023-02-14,Product C,South,831
2023-02-14,Product C,East,851
2023-02-14,Product C,West,657
2023-02-14,Product D,North,646
2023-02-14,Product D,South,352
2023-02-14,Product D,East,489
2023-02-14,Product D,West,693
2023-02-14,Product E,North,982
2023-02-14,Product E,South,355
2023-02-14,Product E,East,808
2023-02-14,Product E,West,914
2023-02-15,Product A,North,549
2023-02-15,Product A,South,109
2023-02-15,Product A,East,923
2023-02-15,Product A,West,897
2023-02-15,Product B,North,341
2023-02-15,Product B,South,350
2023-02-15,Product B,East,976
2023-02-15,Product B,West,104
2023-02-15,Product C,North,218
2023-02-15,Product C,South,900
2023-02-15,Product C,East,473
2023-02-15,Product C,West,164
2023-02-15,Product D,North,245
2023-02-15,Product D,South,323
2023-02-15,Product D,East,338
2023-02-15,Product D,West,276
2023-02-15,Product E,North,878
2023-02-15,Product E,South,952
2023-02-15,Product E,East,381
2023-02-15,Product E,West,162
2023-02-16,Product A,North,316
2023-02-16,Product A,South,953
2023-02-16,Product A,East,926
2023-02-16,Product A,West,894
2023-02-16,Product B,North,788
2023-02-16,Product B,South,560
2023-02-16,Product B,East,709
2023-02-16,Product B,West,204
2023-02-16,Product C,North,198
2023-02-16,Product C,South,610
2023-02-16,Product C,East,484
